node,0
node,1
node,2
node,3
node,4
link,0,1,1Mbps,1109.91ns,wireless,
18018046,mac-recv,1,-1
18018046,mac-recv,1,-1
18018047,mac-recv,1,-1
18018047,mac-recv,1,-1
18041999,mac-send,2,-1
18041999,phy-send,2,-1
18042000,phy-recv,2,-1
18042000,phy-recv,2,-1
18042000,phy-recv,2,-1
18042001,phy-recv,2,-1
18043120,mac-recv,2,-1
18043120,mac-recv,2,-1
18043120,mac-recv,2,-1
18043121,mac-recv,2,-1
18260451,mac-send,0,-1
18260451,phy-send,0,-1
18260452,phy-recv,0,-1
18260452,phy-recv,0,-1
18260452,phy-recv,0,-1
18260452,phy-recv,0,-1
18261572,mac-recv,0,-1
18261572,mac-recv,0,-1
18261572,mac-recv,0,-1
18261572,mac-recv,0,-1
18298973,mac-send,4,-1
18298973,phy-send,4,-1
18298974,phy-recv,4,-1
18298974,phy-recv,4,-1
18298974,phy-recv,4,-1
18298974,phy-recv,4,-1
18300094,mac-recv,4,-1
18300094,mac-recv,4,-1
18300094,mac-recv,4,-1
18300094,mac-recv,4,-1
18324917,mac-send,3,-1
18324917,phy-send,3,-1
18324918,phy-recv,3,-1
18324918,phy-recv,3,-1
18324918,phy-recv,3,-1
18324919,phy-recv,3,-1
18326038,mac-recv,3,-1
18326038,mac-recv,3,-1
18326038,mac-recv,3,-1
18326039,mac-recv,3,-1
20107904,mac-send,2,-1
20107904,phy-send,2,-1
20107904,phy-recv,2,-1
20107905,phy-recv,2,-1
20107905,phy-recv,2,-1
20107905,phy-recv,2,-1
20109024,mac-recv,2,-1
20109025,mac-recv,2,-1
20109025,mac-recv,2,-1
20109025,mac-recv,2,-1
20233507,mac-send,4,-1
20233507,phy-send,4,-1
20233508,phy-recv,4,-1
20233508,phy-recv,4,-1
20233508,phy-recv,4,-1
20233508,phy-recv,4,-1
20234175,mac-send,1,-1
20234628,mac-recv,4,-1
20234628,mac-recv,4,-1
20234628,mac-recv,4,-1
20234628,mac-recv,4,-1
20234678,phy-send,1,-1
20234679,phy-recv,1,-1
20234679,phy-recv,1,-1
20234679,phy-recv,1,-1
20234680,phy-recv,1,-1
20235799,mac-recv,1,-1
20235799,mac-recv,1,-1
20235799,mac-recv,1,-1
20235800,mac-recv,1,-1
20259622,mac-send,0,-1
20259622,phy-send,0,-1
20259623,phy-recv,0,-1
20259623,phy-recv,0,-1
20259623,phy-recv,0,-1
20259624,phy-recv,0,-1
20260743,mac-recv,0,-1
20260743,mac-recv,0,-1
20260743,mac-recv,0,-1
20260744,mac-recv,0,-1
20303656,mac-send,3,-1
20303656,phy-send,3,-1
20303657,phy-recv,3,-1
20303657,phy-recv,3,-1
20303658,phy-recv,3,-1
20303658,phy-recv,3,-1
20304777,mac-recv,3,-1
20304777,mac-recv,3,-1
20304778,mac-recv,3,-1
20304778,mac-recv,3,-1
22190997,mac-send,3,-1
22190997,phy-send,3,-1
22190998,phy-recv,3,-1
22190998,phy-recv,3,-1
22190999,phy-recv,3,-1
22190999,phy-recv,3,-1
22192118,mac-recv,3,-1
22192118,mac-recv,3,-1
22192119,mac-recv,3,-1
22192119,mac-recv,3,-1
22229627,mac-send,2,-1
22229627,phy-send,2,-1
22229627,phy-recv,2,-1
22229628,phy-recv,2,-1
22229628,phy-recv,2,-1
22229628,phy-recv,2,-1
22230747,mac-recv,2,-1
22230748,mac-recv,2,-1
22230748,mac-recv,2,-1
22230748,mac-recv,2,-1
22323868,mac-send,4,-1
22323868,phy-send,4,-1
22323869,phy-recv,4,-1
22323869,phy-recv,4,-1
22323869,phy-recv,4,-1
22323869,phy-recv,4,-1
22324989,mac-recv,4,-1
22324989,mac-recv,4,-1
22324989,mac-recv,4,-1
22324989,mac-recv,4,-1
22448075,mac-send,1,-1
22448075,phy-send,1,-1
22448075,phy-recv,1,-1
22448076,phy-recv,1,-1
22448076,phy-recv,1,-1
